,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
65,21.01.2020,NaN,5032-38-2,משרד,1,NaN,46,"738,768",NaN
66,16.01.2020, ,3947-95-60,משרד,1,שביעית,98,"1,407,420",NaN
67,15.01.2020,NaN,3947-95-18,משרד,1,NaN,98,"1,407,420",NaN
68,15.01.2020,NaN,3947-95-19,משרד,1,NaN,129,"1,789,479",NaN
69,11.12.2019,עזרא 5,4242-414-1,קוטג' דו משפחתי,1,NaN,298,"2,100,000",NaN
70,10.12.2019, ,3947-95-62,משרד,1,שביעית,114,"1,597,981",NaN
71,10.12.2019,NaN,3947-95-17,משרד,1,שביעית,141,"1,936,970",NaN
72,27.11.2019,NaN,3925-738-99,דירה בבית קומות,1,NaN,NaN,"4,032,000",NaN
73,17.11.2019,NaN,5030-166-1,משרד,1,NaN,51,"639,531",NaN
74,13.11.2019,פרס שמעון 33,5097-95-3,אחר,1,NaN,97,"400,000",NaN
75,30.10.2019,"אח""י מזנק 80",2709-52-2,דירה בבית קומות,1,NaN,324,"17,212,000",NaN
76,15.09.2019,NaN,3946-344-34,עסק,1,NaN,3999,"92,430,000",NaN
77,13.08.2019,NaN,5032-29-45,משרד,1,NaN,88,"541,429",NaN
78,12.08.2019,NaN,5032-29-44,דירה,1,שמינית,87,"1,153,302",NaN
79,12.08.2019,NaN,5032-29-43,משרד,1,NaN,52,"964,618",NaN
80,27.07.2019,NaN,5032-29-42,משרד,1,NaN,86,"1,157,486",NaN
81,27.07.2019,NaN,5032-29-41,משרד,1,NaN,87,"1,020,476",NaN
82,14.07.2019,הברון הירש 18,3928-501-1,דירה בבית קומות,1,קרקע,21.50,"790,000",29% ב 2.8 שנים
83,20.09.2016,הברון הירש 18,3928-501-1,דירה בבית קומות,1,קרקע,21.50,"610,000",29% ב 2.8 שנים
84,16.06.2019,NaN,3947-95-14,משרד,1,NaN,131,"1,894,822",NaN
85,18.05.2019,NaN,5032-29-40,משרד,1,NaN,88,"773,426",NaN
86,12.05.2019,NaN,3946-344-25,אחר,1,NaN,102,"2,399,436",NaN
87,12.05.2019,NaN,3946-344-26,אחר,1,NaN,102,"2,402,010",NaN
88,12.05.2019,NaN,3946-344-27,אחר,1,NaN,153,"3,600,792",NaN
89,01.05.2019,NaN,3946-344-23,אחר,1,NaN,101,"2,281,500",NaN
90,30.04.2019,NaN,3947-60-58,משרד,1,שלישית,76,"1,342,768",NaN
91,29.04.2019,NaN,3932-55-12,עסק,1,NaN,44,"1,347,554",NaN
92,26.03.2019,NaN,5032-29-39,משרד,1,NaN,166,"598,287",NaN
93,19.03.2019,ויצמן 4,3928-905-3,עסק,1,NaN,95,"2,100,000",NaN
94,13.03.2019,NaN,5032-29-38,משרד,1,NaN,46,"951,279",NaN
95,05.03.2019,NaN,5032-29-35,משרד,1,NaN,88,"892,237",NaN
96,05.03.2019,NaN,5032-29-32,משרד,1,NaN,51,"708,168",NaN
97,05.03.2019,NaN,5032-29-37,משרד,1,NaN,91,"1,144,938",NaN
98,05.03.2019,NaN,5032-29-30,משרד,1,NaN,72,"455,168",NaN
99,05.03.2019,NaN,5032-29-31,משרד,1,NaN,46,"683,797",NaN
100,05.03.2019,NaN,5032-29-34,משרד,1,NaN,51,"815,360",NaN
101,05.03.2019,NaN,5032-29-33,משרד,1,NaN,46,"726,805",NaN
