,יום מכירה,כתובת,גוש חלקה - תת חלקה,סוג נכס,חדרים,קומה,"מ""ר",סכום,מגמת שינוי
0,14.04.2022,הגת 12,5039-51-115,דירה בבית קומות,6,שמינית,128.20,"2,770,000",NaN
1,14.04.2022,חיל האויר 1,2717-36-56,דירה בבית קומות,5,חמש עשרה,111.85,"3,400,000",32% ב 2.4 שנים
2,19.11.2019,חיל האויר 1,2717-36-56,דירה בבית קומות,5,חמש עשרה,111.85,"2,570,000",32% ב 2.4 שנים
3,23.10.2008,חיל האויר 1,2717-36-56,דירה בבית קומות,5,חמש עשרה,111.85,"1,450,000",32% ב 2.4 שנים
4,13.04.2022,המלחים 2,4746-8-7,דירה בבית קומות,5,שניה,119.73,"2,830,000",63% ב 8.4 שנים
5,06.11.2013,המלחים 2,4746-8-7,דירה בבית קומות,5,שניה,119.73,"1,730,000",63% ב 8.4 שנים
6,10.04.2022,הרב אונטרמן 4,5116-96-8,דירה בבית קומות,5,שניה,112.60,"3,120,000",89% ב 8.8 שנים
7,04.06.2013,הרב אונטרמן 4,5116-96-8,דירה בבית קומות,5,שניה,112.60,"1,650,000",89% ב 8.8 שנים
8,06.04.2022,רגוניס יהודה 6,3929-940-4,קוטג' דו משפחתי,5,"שניה, שלישית",155.03,"3,200,000",244% ב 15.1 שנים
9,12.02.2007,רגוניס יהודה 6,3929-940-4,קוטג' דו משפחתי,5,"שניה, שלישית",155.03,"929,000",244% ב 15.1 שנים
10,06.04.2022,"צ""ג בנות 38",3929-1108-1,דירה בבית קומות,5,שביעית,111,"2,470,000",NaN
11,05.04.2022,פרופ' נחום 9,3945-905-16,דירה בבית קומות,5,חמישית,110.86,"2,650,000",47% ב 6.6 שנים
12,20.08.2015,פרופ' נחום 9,3945-905-16,דירה בבית קומות,5,חמישית,110.86,"1,800,000",47% ב 6.6 שנים
13,31.03.2022,NaN,3629-322-218,דירה בבית קומות,6,תשע עשרה,152,"4,450,000",NaN
14,30.03.2022,האיריס 12,5036-114-47,דירה בבית קומות,5,שמינית,119.75,"2,910,000",NaN
15,29.03.2022,שפירא צבי הרמן 16,3928-776-32,דירה בבית קומות,5,שמינית+תשיעית,149.66,"2,670,000",96% ב 12.3 שנים
16,29.11.2009,שפירא צבי הרמן 16,3928-776-32,דירה בבית קומות,5,שמינית+תשיעית,149.66,"1,360,000",96% ב 12.3 שנים
